sgRNA1_ID	sgRNA2_ID	PILOT_100X_D14_WT	PILOT_500X_D14_WT	PILOT_PCR500X_D14_WT	PILOT_100X_D14_M6	PILOT_500X_D14_M6	PILOT_PCR500X_D14_M6	PILOT_100X_D14_M7	PILOT_500X_D14_M7	PILOT_PCR500X_D14_M7
911956931	984184018	0.291715	0.5371	0.547405	0.15851	0.460773	0.844449	0.686707	0.910787	0.750848
1028049983	904964476	0.43659	0.67075	0.723326	0.542455	0.72724	0.905913	0.492118	0.600468	0.514627
1041153370	1119869746	0.472341	0.566462	0.242187	0.40167	0.751173	0.800329	1.17819	1.05883	0.952329
1044410865	1055466993	-0.150071	0.231002	0.137808	0.173455	0.264494	0.113732	0.500261	0.269274	0.16062
985387694	1131322505	0.491293	0.623292	0.682331	0.215653	0.424083	0.1395	0.996842	0.915372	1.10504
909883377	941352914	0.93328	0.806164	0.509281	0.442472	0.431244	0.170825	0.532319	0.439642	0.178548
1130676929	1031569547	0.920734	1.16946	1.02292	1.29947	1.11214	0.985007	1.13798	1.26125	1.13727
1043454682	1021429352	1.25859	1.37645	1.16178	0.748726	0.80994	0.975924	1.11575	1.38984	1.28308
1090859030	1009344572	0.830129	0.646631	1.0542	0.590706	0.990989	1.09584	1.15736	1.08221	1.12893
982418782	1024903596	-0.271213	-0.126975	0.108614	-0.438337	-0.690352	-0.428973	-0.836483	-0.883604	-0.839705
1046834920	1032316778	-0.751287	-0.717191	-0.66515	-0.653176	-0.961518	-1.0217	0.05383	-0.334527	-1.00168
1104787083	1014839408	0.561421	0.377755	0.418151	0.833404	1.15252	1.10918	0.949021	1.1377	1.02648
946040929	943721389	1.39632	1.33595	1.01645	0.568611	0.645387	0.718953	1.42305	1.35616	1.36989
1020496894	925576821	1.19466	1.42695	1.59105	1.38618	1.09641	1.34789	1.90208	1.74742	1.9459
1027799074	965042142	1.1777	0.723405	0.587637	0.690428	0.589498	0.505682	0.696133	0.884609	0.533353
1023372990	985155272	0.809556	0.778403	0.633796	0.654062	0.855623	0.997806	0.960456	0.820382	1.0498
909716338	1063847130	0.76259	0.733508	0.745644	1.19601	0.59031	0.836924	1.54329	1.38907	1.66943
1082628144	940514764	1.08089	0.998914	0.980435	0.730532	0.765318	0.671372	1.28091	1.25021	1.17848
1022556593	1122026575	1.14802	0.956115	0.96477	0.92095	0.741992	1.00935	1.13611	1.01452	1.16275
